Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9401084,-,-,-,-4.9,-37.37,-3,36,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,GHI,Relative Humidity,Wind Speed,Pressure
2024,1,1,0,0,26.700000000000003,0,0,7,0,91.96000000000001,0,1008
2024,1,1,1,0,26.5,0,0,7,0,93.10000000000001,0,1007
2024,1,1,2,0,26.400000000000002,0,0,6,0,93.60000000000001,0,1007
2024,1,1,3,0,26.3,0,0,6,0,93.5,0,1007
2024,1,1,4,0,26.200000000000003,0,0,6,0,93.56,0,1008
2024,1,1,5,0,26.3,0,0,6,0,92.99,0,1009
2024,1,1,6,0,27,26,0,9,26,88.72,0,1010
2024,1,1,7,0,27.5,12,0,9,12,85.45,0,1010
2024,1,1,8,0,27.8,20,0,6,20,83.34,0,1010
2024,1,1,9,0,28.200000000000003,51,0,6,51,81.05,0,1011
2024,1,1,10,0,28.6,104,0,6,104,78.47,0,1011
2024,1,1,11,0,28.8,190,1,6,191,76.65,0,1010
2024,1,1,12,0,28.900000000000002,135,0,6,135,75.49,0,1009
2024,1,1,13,0,28.8,239,2,7,241,75.39,0,1009
2024,1,1,14,0,28.8,346,42,6,378,74.72,0,1008
2024,1,1,15,0,28.5,66,0,7,66,75.7,0,1008
2024,1,1,16,0,28.1,162,26,8,172,77.98,0,1008
2024,1,1,17,0,27.400000000000002,60,6,8,61,83.72,0,1008
2024,1,1,18,0,26.900000000000002,0,0,7,0,86.76,0,1009
2024,1,1,19,0,26.700000000000003,0,0,7,0,87.99,0,1010
2024,1,1,20,0,26.400000000000002,0,0,7,0,89.87,0,1010
2024,1,1,21,0,26.3,0,0,7,0,90.60000000000001,0,1010
2024,1,1,22,0,26.200000000000003,0,0,0,0,91.44,0,1010
2024,1,1,23,0,26.1,0,0,8,0,92.11,0,1009
2024,1,2,0,0,25.900000000000002,0,0,3,0,93.29,0,1009
2024,1,2,1,0,25.8,0,0,1,0,93.94,0,1008
2024,1,2,2,0,25.8,0,0,7,0,94.03,0,1008
2024,1,2,3,0,25.700000000000003,0,0,8,0,94.3,0,1007
2024,1,2,4,0,25.6,0,0,1,0,94.52,0,1008
2024,1,2,5,0,25.700000000000003,0,0,0,0,94.04,0,1009
2024,1,2,6,0,26.8,42,371,0,95,86.86,0,1009
2024,1,2,7,0,27.900000000000002,73,688,0,330,80.07000000000001,0,1010
2024,1,2,8,0,29.200000000000003,90,822,1,569,72.71000000000001,0,1010
2024,1,2,9,0,30.400000000000002,101,890,0,772,66.64,0,1010
2024,1,2,10,0,31.3,484,208,2,666,62.61,0,1010
2024,1,2,11,0,31.900000000000002,512,257,3,753,60.050000000000004,0,1009
2024,1,2,12,0,32.300000000000004,111,946,0,1005,58.15,0,1008
2024,1,2,13,0,32.4,109,931,0,934,57.38,0,1008
2024,1,2,14,0,32,102,897,0,793,58.22,0,1007
2024,1,2,15,0,31.400000000000002,91,835,0,595,59.88,0,1006
2024,1,2,16,0,30.3,74,718,0,360,63.86,0,1007
2024,1,2,17,0,29,45,453,0,121,70.10000000000001,0,1007
2024,1,2,18,0,28.1,0,0,0,0,76.57000000000001,0,1008
2024,1,2,19,0,27.6,0,0,0,0,81.15,0,1009
2024,1,2,20,0,27.3,0,0,0,0,84.04,0,1009
2024,1,2,21,0,27.1,0,0,3,0,85.62,0,1010
2024,1,2,22,0,26.900000000000002,0,0,3,0,86.71000000000001,0,1009
2024,1,2,23,0,26.700000000000003,0,0,3,0,87.8,0,1009
2024,1,3,0,0,26.5,0,0,3,0,88.85000000000001,0,1008
2024,1,3,1,0,26.3,0,0,0,0,90,0,1007
2024,1,3,2,0,26.200000000000003,0,0,0,0,90.84,0,1008
2024,1,3,3,0,26.1,0,0,0,0,91.58,0,1008
2024,1,3,4,0,26,0,0,0,0,92.38,0,1009
2024,1,3,5,0,26.200000000000003,0,0,0,0,91.63,0,1010
2024,1,3,6,0,27.5,39,408,0,97,83.41,0,1010
2024,1,3,7,0,29,69,714,0,334,74.48,0,1011
2024,1,3,8,0,30.5,85,844,0,575,67.09,0,1011
