Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9401084,-,-,-,-4.9,-37.37,-3,36,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,GHI,Relative Humidity,Wind Speed,Pressure
2022,1,1,0,0,27,0,0,7,0,82.60000000000001,3.8000000000000003,1007
2022,1,1,1,0,26.700000000000003,0,0,7,0,83.85000000000001,3.7,1007
2022,1,1,2,0,26.5,0,0,7,0,84.52,3.7,1007
2022,1,1,3,0,26.3,0,0,7,0,85.44,3.7,1007
2022,1,1,4,0,26.1,0,0,8,0,86.55,3.4000000000000004,1007
2022,1,1,5,0,26.1,0,0,8,0,86.84,3.4000000000000004,1008
2022,1,1,6,0,27.1,74,32,7,78,80.96000000000001,4.6000000000000005,1008
2022,1,1,7,0,28.5,75,628,8,310,72.45,5.5,1009
2022,1,1,8,0,29.900000000000002,186,483,8,467,65.49,5.6000000000000005,1009
2022,1,1,9,0,31.3,324,202,7,476,59.57,5.6000000000000005,1009
2022,1,1,10,0,32.300000000000004,325,447,7,716,55.61,5.6000000000000005,1009
2022,1,1,11,0,33.2,502,324,2,807,52.49,5.6000000000000005,1008
2022,1,1,12,0,33.6,282,639,8,886,51,5.7,1007
2022,1,1,13,0,33.6,139,849,7,891,50.870000000000005,5.800000000000001,1006
2022,1,1,14,0,33.2,150,817,0,778,51.88,5.9,1006
2022,1,1,15,0,32.2,295,387,2,528,54.99,5.9,1006
2022,1,1,16,0,31.1,195,150,8,254,58.800000000000004,5.7,1006
2022,1,1,17,0,30.1,73,8,8,74,62.93,5.1000000000000005,1007
2022,1,1,18,0,29.400000000000002,0,0,7,0,66.68,4.800000000000001,1008
2022,1,1,19,0,29,0,0,7,0,69.09,5,1009
2022,1,1,20,0,28.700000000000003,0,0,7,0,70.61,5.2,1009
