"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0900";"23,0";"";"";"90,0";"";"";"21,3";"";"";"1009,0";"";"";"0,0";"248,0";"";"";"0,0"
"01/01/2022";"1000";"26,9";"26,9";"23,0";"85,0";"90,0";"85,0";"24,2";"24,2";"21,3";"1009,4";"1009,4";"1009,1";"0,0";"172,0";"1,4";"120,00";"0,0"
"01/01/2022";"1100";"28,7";"28,8";"26,9";"71,0";"85,0";"71,0";"23,0";"24,3";"23,0";"1009,7";"1009,7";"1009,4";"4,1";"126,0";"7,1";"1067,30";"0,0"
"01/01/2022";"1200";"29,8";"30,2";"28,7";"64,0";"71,0";"64,0";"22,2";"23,3";"22,2";"1009,5";"1009,7";"1009,5";"4,2";"133,0";"7,8";"6465,20";"0,0"
"01/01/2022";"1300";"32,8";"33,1";"29,8";"52,0";"64,0";"52,0";"21,7";"23,4";"21,4";"1009,3";"1009,5";"1009,2";"4,5";"120,0";"9,4";"4557,30";"0,0"
"01/01/2022";"1400";"34,1";"34,2";"32,6";"45,0";"52,0";"45,0";"20,5";"22,0";"20,4";"1008,5";"1009,3";"1008,5";"3,9";"104,0";"8,7";"39,30";"0,0"
"01/01/2022";"1500";"35,2";"35,9";"33,3";"40,0";"46,0";"40,0";"19,7";"21,0";"19,0";"1007,5";"1008,5";"1007,5";"3,7";"136,0";"9,2";"";"0,0"
"01/01/2022";"1600";"35,7";"36,1";"34,9";"37,0";"41,0";"37,0";"18,8";"20,3";"18,6";"1006,4";"1007,5";"1006,4";"0,9";"186,0";"7,8";"";"0,0"
"01/01/2022";"1700";"31,1";"36,4";"31,1";"53,0";"53,0";"35,0";"20,4";"20,5";"18,0";"1005,5";"1006,4";"1005,5";"6,2";"357,0";"9,4";"97,50";"0,8"
"01/01/2022";"1800";"32,6";"32,6";"30,8";"58,0";"61,0";"53,0";"23,2";"23,4";"20,7";"1005,3";"1005,7";"1005,3";"4,9";"35,0";"9,4";"";"0,4"
"01/01/2022";"1900";"32,2";"32,9";"31,9";"56,0";"58,0";"55,0";"22,4";"23,3";"22,3";"1005,1";"1005,3";"1004,9";"3,3";"37,0";"9,2";"";"0,0"
"01/01/2022";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0900";"24,7";"";"";"86,0";"";"";"22,3";"";"";"1009,3";"";"";"1,1";"97,0";"";"5,30";"0,0"
"02/01/2022";"1000";"28,3";"28,3";"24,7";"75,0";"86,0";"75,0";"23,5";"23,8";"22,3";"1010,0";"1010,0";"1009,3";"2,0";"79,0";"5,5";"705,90";"0,0"
"02/01/2022";"1100";"30,1";"30,1";"28,3";"66,0";"75,0";"66,0";"23,0";"23,6";"22,8";"1010,7";"1010,8";"1010,0";"3,3";"121,0";"7,2";"";"0,0"
