"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2020";"0000";"27,0";"27,7";"27,0";"57,0";"57,0";"54,0";"17,8";"17,8";"17,1";"993,6";"993,6";"993,0";"3,0";"102,0";"5,9";"";"0,0"
"01/07/2020";"0100";"26,3";"27,0";"26,3";"61,0";"61,0";"57,0";"18,0";"18,1";"17,8";"994,1";"994,1";"993,6";"3,1";"98,0";"6,3";"";"0,0"
"01/07/2020";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2020";"1000";"22,7";"22,8";"21,3";"78,0";"85,0";"78,0";"18,6";"18,8";"18,6";"994,0";"994,0";"993,8";"1,9";"97,0";"4,0";"216,40";"0,0"
"01/07/2020";"1100";"24,9";"24,9";"22,7";"66,0";"78,0";"66,0";"18,1";"18,9";"17,8";"994,6";"994,6";"994,0";"2,6";"122,0";"5,2";"1049,60";"0,0"
"01/07/2020";"1200";"26,4";"26,9";"24,6";"56,0";"66,0";"55,0";"16,9";"18,1";"16,9";"994,7";"994,8";"994,6";"2,4";"126,0";"5,1";"1829,40";"0,0"
"01/07/2020";"1300";"29,4";"29,4";"26,3";"47,0";"57,0";"47,0";"17,0";"17,6";"16,7";"994,2";"994,7";"994,2";"3,1";"121,0";"6,2";"2456,20";"0,0"
"01/07/2020";"1400";"31,0";"31,0";"29,0";"38,0";"47,0";"38,0";"15,2";"16,9";"15,1";"993,6";"994,2";"993,6";"3,0";"105,0";"6,3";"2892,40";"0,0"
"01/07/2020";"1500";"31,5";"32,2";"30,8";"37,0";"40,0";"34,0";"15,2";"15,6";"14,1";"992,5";"993,6";"992,5";"2,5";"114,0";"6,5";"3097,90";"0,0"
"01/07/2020";"1600";"32,2";"33,2";"31,1";"31,0";"38,0";"27,0";"12,9";"15,6";"11,4";"991,6";"992,5";"991,6";"2,6";"173,0";"6,1";"3064,00";"0,0"
"01/07/2020";"1700";"33,5";"33,8";"32,3";"29,0";"31,0";"26,0";"12,8";"13,4";"11,2";"990,4";"991,6";"990,4";"2,4";"126,0";"5,7";"2795,90";"0,0"
"01/07/2020";"1800";"33,9";"34,5";"33,2";"28,0";"29,0";"27,0";"13,0";"13,2";"12,2";"990,0";"990,4";"990,0";"1,8";"171,0";"5,9";"2293,80";"0,0"
"01/07/2020";"1900";"33,9";"34,6";"33,5";"28,0";"29,0";"27,0";"12,8";"13,2";"12,5";"990,0";"990,0";"989,8";"1,4";"161,0";"5,2";"1605,60";"0,0"
"01/07/2020";"2000";"33,0";"34,2";"33,0";"30,0";"30,0";"28,0";"12,9";"13,2";"12,6";"990,2";"990,2";"989,9";"1,7";"189,0";"4,3";"801,70";"0,0"
"01/07/2020";"2100";"31,0";"33,2";"31,0";"34,0";"35,0";"30,0";"13,4";"13,6";"12,9";"990,5";"990,5";"990,2";"1,5";"223,0";"3,2";"103,20";"0,0"
"01/07/2020";"2200";"29,9";"31,1";"29,9";"39,0";"39,0";"34,0";"14,4";"14,5";"13,4";"991,6";"991,6";"990,5";"1,9";"164,0";"3,5";"";"0,0"
"01/07/2020";"2300";"29,4";"29,9";"29,4";"41,0";"41,0";"39,0";"14,8";"14,8";"14,5";"992,8";"992,8";"991,6";"0,8";"136,0";"3,5";"";"0,0"
"02/07/2020";"0000";"28,5";"29,7";"28,5";"48,0";"48,0";"41,0";"16,5";"16,5";"14,8";"993,4";"993,4";"992,7";"2,7";"98,0";"5,9";"";"0,0"
"02/07/2020";"0100";"27,2";"28,5";"27,2";"54,0";"54,0";"48,0";"17,2";"17,2";"16,5";"993,6";"993,6";"993,4";"2,4";"99,0";"6,1";"";"0,0"
"02/07/2020";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2020";"1000";"22,8";"22,8";"21,6";"74,0";"79,0";"74,0";"18,0";"18,1";"17,7";"994,1";"994,1";"993,6";"1,9";"108,0";"4,5";"219,10";"0,0"
"02/07/2020";"1100";"25,2";"25,2";"22,8";"65,0";"74,0";"65,0";"18,2";"18,3";"17,9";"994,9";"994,9";"994,0";"2,2";"101,0";"4,6";"1052,90";"0,0"
"02/07/2020";"1200";"27,5";"27,6";"25,3";"53,0";"65,0";"53,0";"17,2";"18,4";"17,1";"995,3";"995,4";"994,9";"2,3";"92,0";"5,2";"1830,70";"0,0"
"02/07/2020";"1300";"29,2";"29,4";"27,5";"46,0";"53,0";"44,0";"16,3";"17,3";"15,6";"994,9";"995,3";"994,9";"2,7";"104,0";"5,8";"2456,80";"0,0"
"02/07/2020";"1400";"31,6";"31,7";"29,2";"36,0";"46,0";"36,0";"14,8";"16,9";"14,8";"994,0";"994,9";"994,0";"2,7";"83,0";"8,0";"2890,70";"0,0"
"02/07/2020";"1500";"32,9";"33,2";"31,1";"33,0";"37,0";"32,0";"14,3";"15,1";"13,9";"993,0";"994,0";"993,0";"2,6";"113,0";"6,0";"3105,40";"0,0"
"02/07/2020";"1600";"33,8";"34,2";"32,0";"29,0";"33,0";"29,0";"13,5";"14,5";"13,4";"991,9";"993,0";"991,9";"2,3";"110,0";"6,6";"3052,80";"0,0"
"02/07/2020";"1700";"34,0";"34,6";"33,0";"26,0";"30,0";"26,0";"12,0";"13,6";"12,0";"990,9";"991,9";"990,9";"2,5";"174,0";"7,0";"2798,00";"0,0"
"02/07/2020";"1800";"34,9";"36,0";"33,7";"25,0";"27,0";"24,0";"11,8";"12,9";"11,4";"990,2";"990,9";"990,2";"1,4";"283,0";"7,0";"2365,80";"0,0"
"02/07/2020";"1900";"34,9";"35,3";"34,4";"24,0";"25,0";"23,0";"11,0";"11,9";"10,6";"990,0";"990,2";"990,0";"2,1";"118,0";"4,7";"1657,70";"0,0"
"02/07/2020";"2000";"33,6";"35,0";"33,6";"26,0";"26,0";"23,0";"11,4";"11,7";"10,8";"990,3";"990,4";"990,0";"1,6";"181,0";"4,5";"828,10";"0,0"
"02/07/2020";"2100";"30,9";"33,6";"30,9";"35,0";"35,0";"26,0";"13,5";"13,5";"11,2";"990,9";"990,9";"990,3";"1,3";"247,0";"3,3";"91,20";"0,0"
"02/07/2020";"2200";"29,6";"31,0";"29,3";"40,0";"40,0";"35,0";"14,6";"14,6";"13,5";"992,1";"992,1";"990,9";"1,4";"23,0";"4,5";"";"0,0"
"02/07/2020";"2300";"30,0";"30,6";"29,3";"48,0";"48,0";"37,0";"17,7";"17,7";"13,9";"993,0";"993,0";"992,1";"2,2";"54,0";"5,7";"";"0,0"
"03/07/2020";"0000";"28,2";"30,0";"28,2";"61,0";"61,0";"48,0";"19,9";"19,9";"17,8";"993,9";"993,9";"993,0";"2,2";"50,0";"5,8";"";"0,0"
"03/07/2020";"0100";"26,7";"28,2";"26,7";"68,0";"68,0";"61,0";"20,2";"20,2";"20,0";"994,3";"994,5";"993,9";"1,3";"63,0";"5,3";"";"0,0"
"03/07/2020";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03/07/2020";"1000";"24,4";"24,4";"23,1";"74,0";"80,0";"74,0";"19,4";"19,4";"19,3";"995,0";"995,0";"994,7";"2,0";"114,0";"";"202,10";"0,0"
