"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"1000";"24,0";"24,0";"23,1";"93,0";"93,0";"93,0";"22,8";"22,9";"21,9";"1012,9";"1013,0";"1012,5";"0,0";"39,0";"0,0";"";"0,0"
"01/07/2023";"1100";"25,2";"25,2";"23,7";"89,0";"93,0";"89,0";"23,3";"23,4";"22,4";"1013,5";"1013,5";"1012,9";"1,0";"151,0";"2,6";"";"0,0"
"01/07/2023";"1200";"26,9";"26,9";"25,2";"81,0";"90,0";"81,0";"23,4";"23,5";"23,1";"1013,8";"1013,8";"1013,5";"1,6";"151,0";"3,4";"";"0,0"
"01/07/2023";"1300";"28,8";"29,1";"26,9";"72,0";"81,0";"72,0";"23,2";"24,2";"23,1";"1013,4";"1013,8";"1013,4";"3,1";"148,0";"6,1";"";"0,0"
"01/07/2023";"1400";"30,2";"30,2";"28,7";"62,0";"72,0";"62,0";"22,1";"23,7";"22,1";"1012,8";"1013,4";"1012,8";"4,6";"134,0";"8,4";"525,00";"0,0"
"01/07/2023";"1500";"30,9";"31,3";"30,1";"57,0";"63,0";"57,0";"21,4";"22,8";"21,4";"1011,8";"1012,8";"1011,8";"3,3";"169,0";"8,0";"1364,70";"0,0"
"01/07/2023";"1600";"31,7";"31,9";"30,8";"54,0";"58,0";"54,0";"21,4";"21,8";"20,8";"1010,6";"1011,8";"1010,6";"2,3";"173,0";"7,0";"1415,50";"0,0"
"01/07/2023";"1700";"32,2";"32,2";"31,4";"52,0";"55,0";"51,0";"21,0";"21,6";"20,8";"1009,7";"1010,6";"1009,7";"3,9";"141,0";"6,3";"1382,00";"0,0"
"01/07/2023";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2023";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2023";"1000";"24,4";"24,4";"21,7";"88,0";"91,0";"88,0";"22,2";"22,5";"20,2";"1012,3";"1012,3";"1011,5";"0,0";"180,0";"1,2";"11,30";"0,0"
