"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"31,5";"33,2";"31,5";"44,0";"44,0";"34,0";"17,8";"17,8";"15,2";"990,9";"990,9";"990,1";"3,6";"55,0";"8,7";"";"0,0"
"01/01/2025";"0100";"30,1";"31,4";"30,1";"51,0";"51,0";"44,0";"18,7";"18,7";"17,8";"991,6";"991,6";"991,0";"3,2";"62,0";"9,5";"";"0,0"
"01/01/2025";"0200";"29,0";"30,1";"29,0";"55,0";"55,0";"51,0";"19,2";"19,2";"18,7";"991,8";"991,8";"991,6";"2,9";"74,0";"9,2";"";"0,0"
"01/01/2025";"0300";"28,3";"29,0";"28,3";"58,0";"58,0";"55,0";"19,4";"19,4";"19,2";"991,9";"992,0";"991,8";"2,2";"63,0";"6,9";"";"0,0"
"01/01/2025";"0400";"27,6";"28,3";"27,6";"59,0";"59,0";"58,0";"18,9";"19,4";"18,8";"991,5";"991,9";"991,5";"2,5";"82,0";"6,7";"";"0,0"
"01/01/2025";"0500";"26,7";"27,6";"26,6";"64,0";"64,0";"59,0";"19,2";"19,2";"19,0";"991,3";"991,5";"991,3";"2,5";"81,0";"7,2";"";"0,0"
"01/01/2025";"0600";"26,0";"26,7";"26,0";"66,0";"66,0";"64,0";"19,2";"19,2";"19,1";"991,3";"991,4";"991,3";"1,5";"108,0";"7,2";"";"0,0"
"01/01/2025";"0700";"25,7";"26,0";"25,7";"69,0";"69,0";"66,0";"19,4";"19,5";"19,2";"991,4";"991,4";"991,2";"1,8";"119,0";"4,8";"";"0,0"
"01/01/2025";"0800";"25,3";"25,7";"25,3";"70,0";"70,0";"69,0";"19,5";"19,5";"19,4";"991,7";"991,7";"991,4";"1,5";"120,0";"4,3";"";"0,0"
"01/01/2025";"0900";"25,5";"25,5";"25,2";"69,0";"70,0";"69,0";"19,5";"19,5";"19,4";"992,5";"992,5";"991,7";"0,7";"138,0";"3,1";"40,50";"0,0"
"01/01/2025";"1000";"27,3";"27,3";"25,5";"63,0";"69,0";"63,0";"19,5";"19,8";"19,4";"993,0";"993,0";"992,5";"1,5";"85,0";"4,4";"562,50";"0,0"
"01/01/2025";"1100";"29,3";"29,5";"27,2";"54,0";"63,0";"54,0";"19,1";"19,7";"18,9";"993,3";"993,4";"993,0";"3,4";"96,0";"7,7";"1422,10";"0,0"
"01/01/2025";"1200";"30,6";"30,9";"29,2";"47,0";"55,0";"47,0";"18,2";"19,2";"18,1";"993,4";"993,5";"993,3";"3,4";"86,0";"7,7";"2376,60";"0,0"
"01/01/2025";"1300";"31,4";"32,4";"30,3";"45,0";"48,0";"43,0";"17,9";"18,4";"17,8";"993,0";"993,4";"993,0";"3,0";"91,0";"7,6";"2008,80";"0,0"
"01/01/2025";"1400";"34,4";"34,4";"30,9";"34,0";"46,0";"34,0";"16,3";"18,4";"16,3";"992,2";"993,0";"992,2";"2,4";"70,0";"13,8";"2434,80";"0,0"
"01/01/2025";"1500";"34,8";"35,3";"33,3";"31,0";"35,0";"30,0";"14,9";"16,3";"14,9";"991,2";"992,2";"991,2";"3,0";"71,0";"9,6";"2613,50";"0,0"
"01/01/2025";"1600";"35,3";"37,0";"34,5";"29,0";"31,0";"26,0";"14,5";"15,6";"13,8";"990,3";"991,2";"990,3";"3,1";"72,0";"7,6";"2432,10";"0,0"
"01/01/2025";"1700";"36,0";"36,6";"34,6";"28,0";"30,0";"27,0";"14,5";"14,9";"14,2";"989,3";"990,3";"989,3";"3,4";"93,0";"7,5";"1776,70";"0,0"
"01/01/2025";"1800";"37,1";"38,3";"36,0";"25,0";"28,0";"24,0";"14,1";"14,6";"13,7";"988,4";"989,3";"988,4";"3,0";"97,0";"7,5";"2592,40";"0,0"
