"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2024";"0000";"27,5";"28,7";"27,5";"54,0";"54,0";"48,0";"17,3";"17,3";"16,5";"994,8";"994,8";"993,9";"1,7";"83,0";"3,8";"";"0,0"
"01/07/2024";"0100";"26,6";"27,5";"26,6";"57,0";"57,0";"54,0";"17,3";"17,8";"16,9";"995,2";"995,2";"994,8";"1,6";"75,0";"4,5";"";"0,0"
"01/07/2024";"0200";"25,9";"26,6";"25,8";"66,0";"66,0";"57,0";"19,1";"19,1";"17,3";"995,4";"995,4";"995,2";"2,6";"95,0";"5,6";"";"0,0"
"01/07/2024";"0300";"25,2";"25,9";"25,1";"64,0";"68,0";"64,0";"17,9";"19,1";"17,9";"995,5";"995,6";"995,4";"2,4";"93,0";"6,5";"";"0,0"
"01/07/2024";"0400";"24,3";"25,2";"24,3";"64,0";"64,0";"63,0";"17,0";"17,8";"17,0";"995,2";"995,5";"995,2";"2,2";"100,0";"5,5";"";"0,0"
"01/07/2024";"0500";"23,3";"24,3";"23,3";"70,0";"70,0";"64,0";"17,5";"17,5";"17,0";"995,0";"995,2";"995,0";"1,6";"117,0";"5,2";"";"0,0"
"01/07/2024";"0600";"23,2";"23,4";"23,2";"74,0";"74,0";"70,0";"18,4";"18,4";"17,5";"994,9";"995,0";"994,9";"2,1";"93,0";"4,6";"";"0,0"
"01/07/2024";"0700";"22,5";"23,3";"22,5";"77,0";"77,0";"74,0";"18,2";"18,4";"18,2";"995,0";"995,0";"994,8";"1,6";"81,0";"5,5";"";"0,0"
"01/07/2024";"0800";"21,8";"22,5";"21,7";"81,0";"81,0";"77,0";"18,3";"18,3";"18,2";"995,3";"995,3";"995,0";"1,5";"90,0";"3,7";"";"0,0"
"01/07/2024";"0900";"21,5";"21,8";"21,4";"83,0";"83,0";"81,0";"18,4";"18,4";"18,3";"995,7";"995,7";"995,3";"1,7";"107,0";"3,5";"2,20";"0,0"
"01/07/2024";"1000";"23,6";"23,6";"21,5";"74,0";"83,0";"74,0";"18,6";"18,7";"18,5";"996,2";"996,2";"995,7";"2,4";"103,0";"4,9";"324,20";"0,0"
"01/07/2024";"1100";"26,0";"26,0";"23,6";"63,0";"74,0";"63,0";"18,3";"18,8";"18,1";"996,7";"996,7";"996,2";"2,9";"125,0";"6,3";"1180,20";"0,0"
"01/07/2024";"1200";"28,6";"28,8";"25,8";"50,0";"63,0";"50,0";"17,1";"18,5";"17,1";"997,0";"997,0";"996,7";"2,7";"116,0";"6,4";"1940,00";"0,0"
"01/07/2024";"1300";"30,2";"30,4";"28,5";"44,0";"50,0";"44,0";"16,7";"17,4";"16,4";"996,5";"997,0";"996,5";"3,3";"133,0";"8,7";"2548,90";"0,0"
"01/07/2024";"1400";"32,2";"32,4";"29,9";"37,0";"45,0";"36,0";"15,8";"16,8";"15,1";"995,8";"996,5";"995,8";"2,8";"136,0";"8,3";"2933,30";"0,0"
"01/07/2024";"1500";"33,3";"33,6";"31,9";"33,0";"37,0";"32,0";"14,7";"15,7";"14,5";"994,8";"995,8";"994,8";"2,5";"129,0";"6,5";"2968,50";"0,0"
"01/07/2024";"1600";"34,1";"34,7";"32,7";"30,0";"33,0";"28,0";"14,1";"15,2";"13,2";"993,7";"994,8";"993,7";"2,5";"94,0";"8,4";"2951,00";"0,0"
"01/07/2024";"1700";"35,0";"35,3";"33,1";"26,0";"30,0";"26,0";"12,9";"14,2";"12,6";"992,8";"993,7";"992,8";"2,5";"130,0";"6,9";"2562,40";"0,0"
"01/07/2024";"1800";"34,5";"35,8";"33,6";"27,0";"29,0";"26,0";"12,8";"13,8";"12,6";"992,5";"992,9";"992,5";"2,2";"131,0";"7,6";"2101,80";"0,0"
"01/07/2024";"1900";"33,0";"34,9";"33,0";"30,0";"30,0";"27,0";"13,1";"14,0";"12,8";"992,8";"992,9";"992,5";"2,9";"99,0";"7,3";"1107,30";"0,0"
"01/07/2024";"2000";"33,0";"34,0";"32,9";"29,0";"30,0";"29,0";"12,6";"13,6";"12,6";"993,2";"993,2";"992,7";"2,6";"120,0";"6,5";"607,20";"0,0"
"01/07/2024";"2100";"31,3";"33,0";"31,3";"33,0";"33,0";"29,0";"13,1";"13,1";"12,6";"994,1";"994,1";"993,2";"2,0";"116,0";"6,0";"30,90";"0,0"
"01/07/2024";"2200";"30,3";"31,3";"30,3";"42,0";"42,0";"33,0";"16,0";"16,0";"13,1";"994,5";"994,5";"994,1";"3,8";"95,0";"8,4";"";"0,0"
"01/07/2024";"2300";"29,0";"30,3";"29,0";"48,0";"48,0";"42,0";"16,8";"16,8";"16,0";"995,1";"995,1";"994,5";"3,2";"101,0";"8,4";"";"0,0"
"02/07/2024";"0000";"27,8";"29,0";"27,8";"56,0";"56,0";"48,0";"18,2";"18,2";"16,8";"995,9";"995,9";"995,1";"3,7";"101,0";"9,7";"";"0,0"
"02/07/2024";"0100";"26,9";"27,8";"26,9";"62,0";"62,0";"56,0";"18,9";"18,9";"18,2";"996,3";"996,3";"995,9";"4,7";"98,0";"10,2";"";"0,0"
"02/07/2024";"0200";"25,9";"26,9";"25,9";"66,0";"66,0";"62,0";"19,0";"19,0";"18,9";"996,6";"996,6";"996,2";"3,8";"101,0";"10,5";"";"0,0"
"02/07/2024";"0300";"25,4";"25,9";"25,4";"66,0";"66,0";"66,0";"18,7";"19,0";"18,7";"996,5";"996,6";"996,4";"3,1";"106,0";"8,9";"";"0,0"
"02/07/2024";"0400";"25,2";"25,4";"25,2";"65,0";"66,0";"65,0";"18,1";"18,7";"18,1";"996,5";"996,5";"996,4";"2,2";"114,0";"5,9";"";"0,0"
"02/07/2024";"0500";"24,3";"25,2";"24,3";"68,0";"68,0";"65,0";"18,0";"18,1";"18,0";"996,0";"996,5";"996,0";"1,3";"95,0";"5,0";"";"0,0"
"02/07/2024";"0600";"23,9";"24,4";"23,9";"65,0";"68,0";"64,0";"16,9";"18,0";"16,9";"995,7";"996,0";"995,7";"2,1";"120,0";"6,1";"";"0,0"
"02/07/2024";"0700";"23,0";"24,0";"23,0";"70,0";"70,0";"65,0";"17,3";"17,3";"16,9";"996,1";"996,1";"995,7";"2,2";"114,0";"4,8";"";"0,0"
"02/07/2024";"0800";"22,6";"23,0";"22,5";"75,0";"75,0";"70,0";"17,9";"17,9";"17,4";"996,4";"996,4";"996,1";"1,9";"93,0";"5,5";"";"0,0"
"02/07/2024";"0900";"22,4";"22,6";"22,4";"75,0";"75,0";"75,0";"17,8";"17,9";"17,7";"996,7";"996,7";"996,4";"1,2";"124,0";"4,4";"2,40";"0,0"
"02/07/2024";"1000";"24,1";"24,1";"22,3";"69,0";"75,0";"69,0";"18,0";"18,2";"17,7";"997,4";"997,4";"996,7";"2,2";"103,0";"4,9";"315,90";"0,0"
"02/07/2024";"1100";"25,9";"26,1";"24,2";"60,0";"69,0";"59,0";"17,5";"18,1";"17,3";"997,9";"997,9";"997,4";"2,8";"125,0";"5,8";"1159,20";"0,0"
"02/07/2024";"1200";"28,5";"28,5";"25,9";"50,0";"60,0";"50,0";"17,1";"17,6";"16,8";"997,8";"998,0";"997,8";"2,6";"121,0";"7,0";"1917,90";"0,0"
"02/07/2024";"1300";"30,8";"30,8";"28,4";"44,0";"50,0";"44,0";"17,0";"17,1";"16,4";"997,3";"997,9";"997,2";"3,1";"134,0";"7,1";"2515,80";"0,0"
"02/07/2024";"1400";"32,2";"32,5";"30,0";"37,0";"44,0";"37,0";"15,9";"16,8";"15,9";"996,4";"997,3";"996,4";"2,9";"131,0";"6,8";"2905,60";"0,0"
"02/07/2024";"1500";"33,1";"33,6";"31,8";"35,0";"38,0";"34,0";"15,5";"16,2";"15,2";"995,1";"996,4";"995,1";"3,1";"142,0";"8,6";"2945,70";"0,0"
"02/07/2024";"1600";"34,0";"35,2";"32,5";"32,0";"36,0";"32,0";"15,0";"16,0";"14,7";"993,8";"995,1";"993,8";"3,7";"120,0";"8,0";"2437,50";"0,0"
"02/07/2024";"1700";"34,7";"35,3";"33,3";"32,0";"34,0";"31,0";"15,4";"15,7";"14,9";"992,8";"993,8";"992,8";"2,5";"115,0";"9,4";"2172,50";"0,0"
"02/07/2024";"1800";"34,6";"35,4";"33,2";"31,0";"33,0";"29,0";"15,2";"15,4";"14,4";"992,3";"992,8";"992,3";"2,5";"127,0";"6,6";"1721,90";"0,0"
"02/07/2024";"1900";"33,2";"35,2";"33,2";"34,0";"34,0";"30,0";"15,3";"15,6";"14,9";"992,3";"992,3";"992,1";"3,6";"108,0";"8,2";"1128,40";"0,0"
"02/07/2024";"2000";"32,2";"33,2";"32,2";"39,0";"39,0";"34,0";"16,5";"16,5";"15,4";"992,7";"992,7";"992,3";"3,8";"93,0";"8,5";"460,30";"0,0"
"02/07/2024";"2100";"30,9";"32,2";"30,9";"43,0";"43,0";"39,0";"16,9";"16,9";"16,5";"993,2";"993,2";"992,7";"2,6";"88,0";"8,9";"39,40";"0,0"
"02/07/2024";"2200";"29,6";"30,9";"29,6";"49,0";"49,0";"43,0";"17,9";"17,9";"16,8";"993,8";"993,8";"993,2";"2,8";"91,0";"8,3";"";"0,0"
"02/07/2024";"2300";"28,4";"29,6";"28,4";"55,0";"55,0";"49,0";"18,4";"18,4";"17,9";"994,6";"994,6";"993,8";"2,8";"82,0";"7,3";"";"0,0"
"03/07/2024";"0000";"27,2";"28,4";"27,2";"61,0";"61,0";"55,0";"19,2";"19,2";"18,4";"995,3";"995,3";"994,6";"3,1";"87,0";"8,2";"";"0,0"
"03/07/2024";"0100";"26,4";"27,2";"26,4";"65,0";"65,0";"61,0";"19,3";"19,3";"19,2";"995,6";"995,6";"995,3";"3,1";"90,0";"8,6";"";"0,0"
"03/07/2024";"0200";"26,1";"26,4";"26,0";"65,0";"67,0";"65,0";"19,0";"19,3";"19,0";"995,3";"995,6";"995,3";"3,3";"108,0";"8,0";"";"0,0"
"03/07/2024";"0300";"25,8";"26,1";"25,8";"64,0";"65,0";"63,0";"18,5";"19,0";"18,5";"995,1";"995,4";"995,1";"3,0";"111,0";"8,6";"";"0,0"
"03/07/2024";"0400";"25,2";"25,8";"25,2";"67,0";"67,0";"64,0";"18,6";"18,7";"18,5";"994,7";"995,1";"994,7";"2,5";"108,0";"7,0";"";"0,0"
"03/07/2024";"0500";"24,8";"25,2";"24,8";"68,0";"68,0";"67,0";"18,5";"18,6";"18,5";"994,6";"994,7";"994,6";"1,6";"118,0";"5,0";"";"0,0"
"03/07/2024";"0600";"24,5";"24,8";"24,4";"70,0";"70,0";"68,0";"18,7";"18,7";"18,5";"994,3";"994,6";"994,3";"1,6";"133,0";"3,7";"";"0,0"
"03/07/2024";"0700";"24,3";"24,5";"24,3";"70,0";"71,0";"70,0";"18,6";"18,7";"18,6";"994,4";"994,4";"994,3";"2,2";"113,0";"4,3";"";"0,0"
"03/07/2024";"0800";"24,2";"24,3";"24,2";"71,0";"71,0";"70,0";"18,7";"18,7";"18,6";"994,6";"994,7";"994,4";"1,2";"126,0";"4,3";"";"0,0"
"03/07/2024";"0900";"24,4";"24,5";"24,2";"69,0";"71,0";"69,0";"18,5";"18,7";"18,5";"994,9";"994,9";"994,6";"2,3";"116,0";"4,2";"2,20";"0,0"
"03/07/2024";"1000";"25,7";"25,7";"24,4";"64,0";"70,0";"64,0";"18,4";"18,6";"18,3";"995,6";"995,6";"994,9";"2,1";"128,0";"5,5";"162,20";"0,0"
"03/07/2024";"1100";"26,9";"27,1";"25,7";"59,0";"64,0";"58,0";"18,2";"18,5";"18,0";"996,2";"996,2";"995,6";"3,2";"130,0";"7,6";"759,30";"0,0"
"03/07/2024";"1200";"28,9";"28,9";"26,7";"53,0";"59,0";"53,0";"18,4";"18,5";"18,1";"996,1";"996,3";"996,1";"3,6";"141,0";"8,0";"1558,20";"0,0"
"03/07/2024";"1300";"28,7";"29,9";"28,2";"51,0";"53,0";"49,0";"17,6";"18,5";"17,5";"995,8";"996,2";"995,8";"4,2";"132,0";"9,0";"1685,20";"0,0"
"03/07/2024";"1400";"29,8";"31,1";"28,6";"48,0";"52,0";"45,0";"17,6";"18,3";"17,4";"994,9";"995,8";"994,9";"4,2";"149,0";"8,5";"1738,10";"0,0"
"03/07/2024";"1500";"30,4";"30,9";"29,8";"47,0";"49,0";"45,0";"17,7";"18,1";"17,4";"994,1";"994,9";"994,1";"4,2";"140,0";"9,8";"1604,20";"0,0"
"03/07/2024";"1600";"31,6";"31,7";"30,4";"45,0";"47,0";"44,0";"18,2";"18,3";"17,4";"992,9";"994,1";"992,9";"3,8";"122,0";"9,4";"1739,70";"0,0"
"03/07/2024";"1700";"32,0";"32,8";"30,7";"43,0";"47,0";"41,0";"17,8";"18,3";"17,3";"991,8";"992,9";"991,8";"3,4";"132,0";"9,6";"1888,20";"0,0"
"03/07/2024";"1800";"31,1";"32,2";"31,0";"45,0";"45,0";"42,0";"17,6";"17,7";"17,3";"991,5";"991,8";"991,4";"3,2";"134,0";"7,5";"760,20";"0,0"
"03/07/2024";"1900";"30,6";"31,1";"30,5";"46,0";"46,0";"44,0";"17,6";"17,6";"17,3";"991,6";"991,6";"991,5";"3,2";"122,0";"7,7";"411,60";"0,0"
"03/07/2024";"2000";"30,2";"30,9";"30,2";"47,0";"47,0";"44,0";"17,6";"17,8";"17,1";"991,9";"991,9";"991,6";"2,5";"88,0";"6,8";"271,10";"0,0"
"03/07/2024";"2100";"29,4";"30,2";"29,4";"50,0";"50,0";"47,0";"17,9";"17,9";"17,6";"992,5";"992,5";"991,9";"1,3";"83,0";"5,3";"24,70";"0,0"
"03/07/2024";"2200";"29,2";"29,6";"29,2";"50,0";"51,0";"50,0";"17,8";"18,2";"17,8";"993,1";"993,1";"992,5";"2,4";"119,0";"6,8";"";"0,0"
"03/07/2024";"2300";"28,8";"29,2";"28,8";"51,0";"51,0";"49,0";"17,7";"17,8";"17,4";"993,7";"993,7";"993,1";"2,9";"128,0";"7,6";"";"0,0"
"04/07/2024";"0000";"27,5";"28,8";"27,5";"57,0";"57,0";"51,0";"18,3";"18,3";"17,6";"994,3";"994,3";"993,7";"3,1";"116,0";"6,9";"";"0,0"
"04/07/2024";"0100";"26,6";"27,5";"26,6";"57,0";"58,0";"56,0";"17,4";"18,3";"17,4";"994,7";"994,7";"994,3";"2,6";"121,0";"6,8";"";"0,0"
"04/07/2024";"0200";"25,6";"26,6";"25,6";"60,0";"60,0";"57,0";"17,3";"17,4";"17,2";"994,8";"994,8";"994,7";"2,0";"116,0";"5,1";"";"0,0"
"04/07/2024";"0300";"24,5";"25,6";"24,5";"68,0";"68,0";"60,0";"18,2";"18,2";"17,3";"994,4";"994,8";"994,4";"1,6";"88,0";"5,5";"";"0,0"
"04/07/2024";"0400";"23,8";"24,5";"23,8";"72,0";"72,0";"68,0";"18,6";"18,6";"18,2";"993,9";"994,4";"993,9";"2,2";"95,0";"4,8";"";"0,0"
"04/07/2024";"0500";"23,2";"23,8";"23,2";"74,0";"74,0";"72,0";"18,4";"18,6";"18,3";"993,6";"993,9";"993,6";"1,7";"136,0";"4,7";"";"0,0"
"04/07/2024";"0600";"22,7";"23,2";"22,7";"74,0";"75,0";"73,0";"17,8";"18,4";"17,8";"993,3";"993,6";"993,3";"1,5";"94,0";"3,4";"";"0,0"
