"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2019";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"0100";"22,8";"23,5";"22,8";"86,0";"87,0";"85,0";"20,4";"21,1";"20,4";"999,4";"999,6";"999,4";"1,6";"51,0";"2,0";"";"0,0"
"01/07/2019";"0200";"24,0";"24,0";"22,7";"80,0";"87,0";"80,0";"20,4";"20,8";"20,3";"999,3";"999,4";"999,2";"2,4";"86,0";"4,6";"";"0,0"
"01/07/2019";"0300";"22,9";"24,3";"22,9";"83,0";"83,0";"78,0";"19,9";"20,4";"19,8";"999,1";"999,4";"999,1";"1,2";"171,0";"4,7";"";"0,0"
"01/07/2019";"0400";"22,7";"22,9";"22,3";"86,0";"86,0";"83,0";"20,3";"20,4";"19,7";"998,9";"999,1";"998,9";"0,9";"153,0";"2,3";"";"0,0"
"01/07/2019";"0500";"22,8";"22,8";"21,4";"86,0";"88,0";"86,0";"20,4";"20,5";"19,2";"998,6";"999,0";"998,6";"1,0";"134,0";"2,0";"";"0,0"
"01/07/2019";"0600";"22,7";"22,9";"22,6";"84,0";"86,0";"84,0";"19,8";"20,4";"19,8";"998,4";"998,6";"998,4";"0,8";"157,0";"1,7";"";"0,0"
"01/07/2019";"0700";"22,3";"22,7";"22,3";"80,0";"84,0";"79,0";"18,7";"19,8";"18,6";"998,3";"998,5";"998,2";"1,6";"156,0";"3,4";"";"0,0"
"01/07/2019";"0800";"22,1";"22,4";"22,0";"80,0";"80,0";"78,0";"18,4";"18,7";"18,3";"998,6";"998,6";"998,3";"1,5";"163,0";"3,1";"";"0,0"
"01/07/2019";"0900";"22,6";"22,6";"22,0";"78,0";"80,0";"78,0";"18,5";"18,5";"18,3";"999,0";"999,0";"998,5";"1,6";"156,0";"3,5";"36,90";"0,0"
"01/07/2019";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"1100";"27,1";"27,9";"25,1";"59,0";"68,0";"58,0";"18,5";"19,2";"18,4";"1000,1";"1000,1";"999,6";"4,8";"130,0";"8,6";"1414,70";"0,0"
"01/07/2019";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"1300";"29,9";"30,1";"28,2";"51,0";"56,0";"50,0";"18,7";"19,3";"18,2";"999,7";"1000,3";"999,7";"4,5";"118,0";"9,4";"2551,20";"0,0"
"01/07/2019";"1400";"29,3";"29,9";"29,0";"53,0";"54,0";"51,0";"18,6";"19,0";"18,3";"999,3";"999,7";"999,3";"4,3";"147,0";"8,6";"1296,30";"0,0"
"01/07/2019";"1500";"31,4";"31,5";"29,2";"45,0";"53,0";"45,0";"18,1";"19,1";"17,7";"998,2";"999,4";"998,2";"3,6";"128,0";"8,2";"1898,60";"0,0"
"01/07/2019";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"1800";"30,6";"32,2";"30,1";"50,0";"51,0";"45,0";"18,9";"19,2";"18,1";"996,5";"996,7";"996,5";"5,1";"118,0";"8,7";"1462,50";"0,0"
"01/07/2019";"1900";"29,9";"30,8";"29,6";"50,0";"51,0";"49,0";"18,5";"19,1";"18,3";"996,5";"996,6";"996,4";"3,3";"129,0";"7,5";"767,90";"0,0"
"01/07/2019";"2000";"26,5";"30,0";"26,5";"70,0";"70,0";"50,0";"20,5";"20,5";"18,6";"997,0";"997,0";"996,5";"2,1";"146,0";"7,5";"203,90";"0,0"
"01/07/2019";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/07/2019";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/07/2019";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
