Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9391310,-,-,-,-5.62,-37.81,-3,125,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DNI,Wind Speed,GHI,Relative Humidity,DHI,Temperature,Pressure,Cloud Type
2022,1,1,0,0,0,2.7,0,84.85000000000001,0,25.700000000000003,996,7
2022,1,1,1,0,0,2.4000000000000004,0,86.83,0,25.3,995,8
2022,1,1,2,0,0,2.3000000000000003,0,88.29,0,25,995,8
2022,1,1,3,0,0,2.2,0,89.63,0,24.700000000000003,995,8
2022,1,1,4,0,0,2,0,90.63,0,24.5,996,6
2022,1,1,5,0,0,2.2,0,90.9,0,24.400000000000002,996,6
2022,1,1,6,0,90,3.7,68,82.72,55,25.700000000000003,997,7
2022,1,1,7,0,3,4.800000000000001,100,70.32000000000001,99,27.700000000000003,997,6
2022,1,1,8,0,167,4.9,366,59.97,269,29.8,997,7
2022,1,1,9,0,451,4.800000000000001,609,52.14,269,31.8,997,7
2022,1,1,10,0,190,4.6000000000000005,577,46.15,410,33.6,997,7
2022,1,1,11,0,481,4.5,806,42.38,352,34.800000000000004,996,8
2022,1,1,12,0,309,4.4,690,39.92,396,35.6,995,8
2022,1,1,13,0,5,4.3,390,39.46,386,35.7,994,3
2022,1,1,14,0,910,4.2,807,40.46,100,35.2,993,1
2022,1,1,15,0,841,4.1000000000000005,607,43.46,93,34.1,993,7
2022,1,1,16,0,145,3.9000000000000004,279,48.86,220,32.6,994,3
2022,1,1,17,0,4,3.2,82,58.19,81,30.700000000000003,995,3
2022,1,1,18,0,0,3.1,0,63.63,0,29.5,995,8
2022,1,1,19,0,0,3.3000000000000003,0,67,0,28.700000000000003,996,7
2022,1,1,20,0,0,3.2,0,70.52,0,28,997,7
