Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9406908,-,-,-,-6.46,-37.09,-3,162,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Cloud Type,Relative Humidity,GHI,Pressure,Wind Speed
2019,1,1,0,0,25,0,0,0,76.94,0,991,4
2019,1,1,1,0,24.400000000000002,0,0,0,80.5,0,991,3.7
2019,1,1,2,0,24,0,0,0,82.52,0,991,3.3000000000000003
2019,1,1,3,0,23.6,0,0,0,84.49,0,992,2.9000000000000004
2019,1,1,4,0,23.200000000000003,0,0,0,86.51,0,992,2.6
2019,1,1,5,0,23.5,0,0,0,85.07000000000001,0,993,2.9000000000000004
2019,1,1,6,0,25.8,40,502,0,73.14,120,994,4.800000000000001
2019,1,1,7,0,28.8,65,776,0,58.43,366,994,5.5
2019,1,1,8,0,31.8,79,894,0,45.910000000000004,611,994,5.5
2019,1,1,9,0,34.6,99,935,0,36.4,814,993,5.300000000000001
2019,1,1,10,0,36.800000000000004,105,968,0,30.400000000000002,963,993,5.2
2019,1,1,11,0,38.400000000000006,107,985,0,26.77,1043,992,5.2
2019,1,1,12,0,39.2,107,982,0,25.060000000000002,1042,990,5.5
2019,1,1,13,0,39.400000000000006,104,966,0,24.76,965,990,5.800000000000001
2019,1,1,14,0,38.800000000000004,285,653,3,25.71,791,989,6.1000000000000005
2019,1,1,15,0,37.6,89,865,0,27.67,614,989,6.300000000000001
2019,1,1,16,0,35.7,223,143,3,31.07,280,990,6.2
2019,1,1,17,0,33.5,47,467,0,36.04,127,991,5.5
2019,1,1,18,0,31.700000000000003,0,0,0,41.64,0,992,4.9
2019,1,1,19,0,30.400000000000002,0,0,0,47.300000000000004,0,993,4.800000000000001
2019,1,1,20,0,29.1,0,0,0,54.14,0,994,4.9
2019,1,1,21,0,27.900000000000002,0,0,0,61.32,0,994,5
2019,1,1,22,0,26.8,0,0,0,68.36,0,994,5.2
2019,1,1,23,0,26,0,0,0,73.27,0,993,4.9
2019,1,2,0,0,25.3,0,0,0,77.09,0,993,4.4
2019,1,2,1,0,24.900000000000002,0,0,0,79.18,0,993,3.9000000000000004
2019,1,2,2,0,24.5,0,0,0,81,0,993,3.7
2019,1,2,3,0,24.200000000000003,0,0,0,82.21000000000001,0,993,3.7
2019,1,2,4,0,24,0,0,0,82.82000000000001,0,993,3.8000000000000003
2019,1,2,5,0,24.1,0,0,0,81.99,0,994,4.3
2019,1,2,6,0,26.200000000000003,37,529,0,70.69,120,994,6
2019,1,2,7,0,29.1,61,794,0,56.25,368,994,6.4
2019,1,2,8,0,32.1,74,906,0,44.51,613,994,6.2
2019,1,2,9,0,34.7,83,965,0,35.660000000000004,820,993,5.9
2019,1,2,10,0,36.800000000000004,90,995,0,29.57,971,993,5.800000000000001
2019,1,2,11,0,38.400000000000006,94,1006,0,25.43,1050,992,5.7
2019,1,2,12,0,39.2,534,279,3,23.35,799,991,5.800000000000001
2019,1,2,13,0,39.300000000000004,466,134,3,22.89,586,990,6
2019,1,2,14,0,38.7,403,98,3,23.830000000000002,479,989,6.1000000000000005
2019,1,2,15,0,37.4,349,158,3,26.34,445,990,6.300000000000001
2019,1,2,16,0,35.5,59,0,3,30.43,59,991,6.4
2019,1,2,17,0,33.1,37,0,4,36.43,37,992,6.1000000000000005
2019,1,2,18,0,31.3,0,0,3,42.07,0,993,5.9
2019,1,2,19,0,29.900000000000002,0,0,0,47.28,0,994,5.9
2019,1,2,20,0,28.5,0,0,0,53.02,0,994,5.800000000000001
2019,1,2,21,0,27.200000000000003,0,0,1,58.68,0,994,5.6000000000000005
2019,1,2,22,0,26.1,0,0,1,63.56,0,994,5.300000000000001
2019,1,2,23,0,25.3,0,0,0,66.98,0,993,4.800000000000001
2019,1,3,0,0,24.6,0,0,0,70.06,0,992,4.3
2019,1,3,1,0,24,0,0,0,73.16,0,992,4
2019,1,3,2,0,23.5,0,0,0,76.15,0,991,3.7
2019,1,3,3,0,23,0,0,0,79.65,0,992,3.5
2019,1,3,4,0,22.6,0,0,0,82.76,0,992,3.4000000000000004
2019,1,3,5,0,22.700000000000003,0,0,0,83.41,0,993,3.7
2019,1,3,6,0,25.1,41,479,0,71.49,115,993,5.4
2019,1,3,7,0,28.400000000000002,67,767,0,54.54,362,993,6
2019,1,3,8,0,31.8,81,888,0,41.06,608,993,5.7
2019,1,3,9,0,34.7,107,918,0,32.55,808,993,5.2
2019,1,3,10,0,37,116,952,0,27.36,960,992,4.9
2019,1,3,11,0,38.6,122,965,0,24.310000000000002,1038,991,4.7
2019,1,3,12,0,39.5,120,966,0,22.86,1041,990,4.5
2019,1,3,13,0,39.7,120,942,0,22.71,962,989,4.5
2019,1,3,14,0,39.300000000000004,58,0,3,23.490000000000002,58,989,4.7
2019,1,3,15,0,38.1,110,816,0,25.59,607,989,5
2019,1,3,16,0,36.1,114,0,3,29.72,114,990,5.300000000000001
2019,1,3,17,0,33.9,91,16,3,35.51,94,991,5.4
2019,1,3,18,0,32.1,0,0,7,41.93,0,992,5.5
2019,1,3,19,0,30.400000000000002,0,0,4,48.910000000000004,0,993,5.4
2019,1,3,20,0,29,0,0,7,55.49,0,993,5.4
2019,1,3,21,0,27.700000000000003,0,0,8,61.63,0,994,5.5
2019,1,3,22,0,26.6,0,0,7,66.58,0,994,5.5
